Prop,CSS Property
m,margin
mt,marginTop
mb,marginBottom
ml,marginLeft
mr,marginRight
mx,"marginRight, marginLeft"
my,"marginTop, marginBottom"
p,padding
pt,paddingTop
pb,paddingBottom
pl,paddingLeft
pr,paddingRight
px,"paddingRight, paddingLeft"
py,"paddingTop, paddingBottom"
bg,background
c,color
opacity,opacity
ff,fontFamily
fz,fontSize
fw,fontWeight
lts,letterSpacing
ta,textAlign
lh,lineHeight
fs,fontStyle
tt,textTransform
td,textDecoration
w,width
miw,minWidth
maw,maxWidth
h,height
mih,minHeight
mah,maxHeight
bgsz,background-size
bgp,background-position
bgr,background-repeat
bga,background-attachment
pos,position
top,top
left,left
bottom,bottom
right,right
inset,inset
display,display
